"";"...1";"area_estabelecimentos";"area_lavouras";"area_producao";"despesas_terra";"qtde_estabelecimentos";"pessoal_ocupado";"salarios";"pessoal_homens";"pessoal_mulheres";"qtde_tratores";"qtde_maquinas";"uso_adubos";"uso_corretivos";"uso_assistencia_tecnica";"uso_agrotoxicos";"uso_conservacao";"uso_irrigacao";"uso_energia";"despesa_insumos";"intensidade_agrotoxico";"despesas_estabelecimentos";"despesas_outras";"despesas_lavouras";"receitas_lavouras";"receitas_estabelecimentos";"CR_sicor";"producao";"pib_agro_municipios"
"3722";4316758;5189,6;3413,6;4539;5776;617;1326;774;797;529;180;308;570;46;167;167;735;13;577;20684;89;40720;4598;9742;16400;606;2896662,97;58094;21593,14
"3723";4316808;29175,2;16453,2;34865;31695;2435;6535;7161;3920;2615;1055;1697;2352;944;1830;1830;4112;142;2414;34994;92,23880597;77979;10308;57454;126660;2431;236094188,55;161907;167525,69
"3724";4316907;119185,5;54287;80806;89130;1701;4351;12259;3143;1208;1550;2755;1349;647;519;519;1912;355;1665;77332;374,09756098;160140;2566;119227;207564;1684;195075255,09;261417;176253,57
"3725";4316956;5466,7;2275,5;5678;3270;578;1169;601;755;414;217;308;512;254;141;141;608;34;558;4238;45,58333333;8656;285;2433;8279;562;6279378,48;32451;26914,88
"3726";4316972;79117,2;31518,2;41225;44184;505;1520;8138;1146;374;454;896;271;148;171;171;278;49;446;38383;46,94674556;112363;2798;64538;116188;491;66374516,91;148681;99562,32
"3727";4317004;91885,1;14744,8;27570;24196;1732;3668;2759;2380;1288;340;529;870;175;75;75;1514;24;1561;24852;1123,6;52728;534;23197;39182;1637;34476503,48;81216;83893,42
"3728";4317103;632259;54373,1;112087;116962;2940;8255;44474;6163;2092;1482;2848;1319;454;726;726;1683;172;2757;114624;50,1211778;328352;16689;148616;200512;2866;204525800,5;480846;288341,05
"3729";4317202;27322,6;20775,2;22553;41064;1380;3655;7515;2151;1504;1124;2688;1301;325;743;743;2773;82;1312;62921;347,3030303;122633;14425;56088;74727;1371;216375866,03;166709;108249,19
"3730";4317251;2505,9;1321,9;3354;3064;270;971;1230;711;260;255;292;246;76;227;227;287;16;248;3561;1,55531216;9518;1142;7630;23134;263;4144903,67;22058;16395,44
"3731";4317400;177861,1;33272,1;83011;72391;1490;3979;9181;2702;1277;902;1648;1040;352;266;266;749;45;1422;60804;776;146450;4316;104398;166987;1484;137077424,2;266422;163863,82
"3732";4317509;40953,1;33173;40229;50543;1216;2930;8518;2015;915;942;2203;1124;261;323;323;1558;44;1183;62924;920,82352941;105060;4067;80567;115415;1173;101604625,52;165138;138503,89
"3733";4317558;7747,7;5603,4;6830;9257;393;1377;3443;809;568;290;526;359;121;218;218;630;25;364;11101;65,57777778;28974;3597;13868;22993;391;16108950,43;49861;38328,52
"3734";4317608;65139,2;21485;43650;26793;2698;5420;10509;3874;1546;602;1048;1775;357;298;298;1342;168;2459;25918;60,52040816;79636;3526;56128;128643;2626;74704369,75;167985;92200,97
"3735";4317707;132643,2;43082;63197;94503;1204;3368;10264;2216;1152;646;1349;673;236;370;370;732;68;1173;80092;26443;160995;6124;109827;142134;1194;101836447,86;237845;146528,33
"3736";4317806;35132,4;32936;30858;70592;585;1833;9180;1189;644;587;1295;555;143;417;417;844;39;527;74289;1862,75;136589;17508;98088;132685;573;82443632,25;209759;139015,61
"3737";4317905;25319,2;13895,4;13526;27408;1693;4571;8675;2721;1850;801;1877;1588;214;582;582;3637;64;1618;72099;158,08;145379;19951;30035;49350;1684;42523814,65;215196;111736,72
"3738";4318002;278956,5;121739,1;178965;199980;1017;3835;35913;2967;868;1415;2777;646;300;433;433;884;222;959;175899;879,34328358;389213;22364;327075;449237;989;275384340,84;576900;347426,42
"3739";4318051;4093,7;2565;3206;4432;297;645;88;415;230;181;322;248;68;125;125;273;11;247;9538;43,5;19357;4000;5439;6773;256;11037113,5;30908;17553,85
"3740";4318101;216497,5;50969,3;111973;80744;2321;5571;9956;3754;1817;1271;2389;1644;550;729;729;2264;71;2171;76091;464,8125;171630;3590;119140;216848;2285;140585479,34;300093;168002,48
"3741";4318200;193948,2;15301,5;76604;58873;1353;4451;29865;3218;1233;1076;1611;895;559;390;390;803;85;1293;56967;16,35520362;154551;3603;65495;148054;1297;83213354,77;321550;204178,84
"3742";4318309;448672,8;160186,1;260723;218361;2192;6629;41585;4677;1952;1955;3990;1094;424;658;658;1427;294;2092;179457;18512,5;441800;15005;309789;545071;2174;286571121,09;717296;394005,48
"3743";4318432;4116,6;2377,2;3950;4846;184;400;855;331;69;196;332;135;40;100;100;187;75;171;3424;19,36170213;10030;67;8596;10593;178;12791725,4;14063;12270,77
"3744";4318440;8414,6;5252,4;5239;12261;391;1380;1759;978;402;297;525;373;168;317;317;521;34;338;21000;10,6873065;39195;2840;12841;20639;382;13050828,34;60586;35150,14
"3745";4318457;7493,9;6596,9;7364;12063;563;1011;179;677;334;157;379;428;51;163;163;605;4;521;11378;1815,5;19452;582;16684;26920;527;12857683,41;36995;17383,1
"3746";4318465;3917,1;1353,6;3146;1228;359;822;936;523;299;85;121;209;12;64;64;79;2;346;1590;6,90625;4410;7;1354;4234;338;1730039,71;9935;11908,13
"3747";4318481;2308,9;1307,7;1898;1801;269;577;1029;407;170;169;179;243;36;142;142;434;45;231;2260;0,63247863;6094;297;2228;12165;269;4260338,98;23488;12880,26
"3748";4318499;5726,4;3707,5;3255;5688;422;1062;348;645;417;163;387;407;33;276;276;1104;162;378;9285;1129;22025;5105;7861;10069;416;8303839,97;30374;29117,32
"3749";4318606;24933,3;19828,7;25358;35894;663;1862;2505;1280;582;479;994;630;255;520;520;903;17;639;36839;239,87037037;61792;1917;50182;88678;658;64669924,85;118300;70646,74
"3750";4318614;2600,8;1470;2207;1192;349;670;757;430;240;268;288;295;40;101;101;241;4;339;2042;0,18431772;8472;241;2285;6917;333;3717400,24;23877;22337,68
"3751";4318622;99628,7;3445,5;13024;21130;504;1950;9899;1333;617;440;728;351;251;170;170;457;2;439;21600;15,71625344;57950;3485;31206;52140;470;45579159,74;101686;31714,72
"3752";4318705;1067,8;167,1;317;337;65;216;842;163;53;37;50;48;23;17;17;89;13;59;537;1,77777778;2086;37;217;494;60;119368,96;1678;2287,51
"3753";4318804;135167,6;72671,1;118557;100155;3846;13034;16496;7519;5515;4361;7401;3605;1865;2276;2276;7856;229;3798;114615;354,3880597;225461;9505;157268;323792;3803;148170678,83;416990;294514,38
"3754";4318903;104447,7;64240,2;92852;126610;1263;3026;11978;2148;878;888;1791;1012;455;431;431;1177;67;1163;115308;46023;197031;6362;184758;288452;1233;173149429,29;373865;239586,65
"3755";4319000;8517,6;2165,3;8340;8532;617;1872;2983;1205;667;638;766;516;213;398;398;361;122;595;10299;3,18308766;23612;1637;16391;46336;603;34081112,59;67004;37021,64
"3756";4319125;45793,2;22118,5;30462;42133;629;1542;4536;999;543;307;622;391;153;170;170;535;15;566;35740;17604;78761;5192;63433;92981;620;46321260,31;117525;89723,59
"3757";4319208;39647,2;16791;24250;37932;683;1739;3740;1200;539;247;547;430;90;281;281;716;22;573;36183;961,71428571;73247;2677;60543;71176;674;42512176,74;91679;56345,33
"3758";4319307;16562,7;7792,4;8124;13304;1096;2875;1947;1625;1250;443;820;1038;137;717;717;1780;569;1041;19003;156,64285714;40984;5459;15012;22709;1084;17537128,57;75305;62001,18
"3759";4319356;1598,9;590,7;951;938;217;489;655;313;176;85;130;168;44;90;90;114;6;212;3823;2,85714286;8150;767;610;1530;201;1533280,99;16844;14990,1
"3760";4319406;55513;18046,7;35648;25256;1350;3561;4057;2266;1295;730;1370;1061;402;671;671;1277;176;1272;24015;2115,5;59946;3684;40461;68972;1329;69019700,9;103198;75606,74
