"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"despesa_terras";"CR_RECOR";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"190";"2006";"1502707";"Conceição do Araguaia - PA";7504;5756;1926;2288;42820476,5900002;9223;624;206;6108;448;448;1469;81;84323;55035;6
"191";"2006";"1502756";"Concórdia do Pará - PA";6451;1100;1255;492;871823,83;2883;101;61;15401;178;55;117;22;36921;34270;4
"192";"2006";"1502764";"Cumaru do Norte - PA";4434;8036;195;1161;15837802,62;3939;396;169;657;15;61;313;6;220575;54336;9
"193";"2006";"1502772";"Curionópolis - PA";1530;4422;28;1516;14285648,57;769;216;74;211;21;85;57;11;191275;22996;4
"195";"2006";"1502855";"Curuá - PA";1570;290;156;105;363682,47;2761;18;7;696;2;10;67;2;12294;20268;4
"196";"2006";"1502905";"Curuçá - PA";2651;1171;1324;419;41079736,92;2528;42;18;10295;416;164;67;109;20346;25620;4
"197";"2006";"1502939";"Dom Eliseu - PA";16336;7949;9088;5107;3464405,72;1657;339;153;13510;82;55;97;14;275324;70284;9
"198";"2006";"1502954";"Eldorado do Carajás - PA";767;2750;157;891;121970668,42;7055;156;100;650;14;199;203;7;118022;33938;6
"200";"2006";"1503044";"Floresta do Araguaia - PA";10004;3588;3831;2059;24779647,91;3927;242;101;15950;390;259;528;23;109737;36583;9
"201";"2006";"1503077";"Garrafão do Norte - PA";5269;1313;2180;602;3751630,89000001;4390;121;48;11589;697;201;27;46;39147;29612;4
"202";"2006";"1503093";"Goianésia do Pará - PA";2075;3934;1117;342;3674439,55;3245;200;112;5394;15;12;24;2;99945;25059;4
"204";"2006";"1503200";"Igarapé-Açu - PA";9404;1905;6995;1359;5819848,03;4368;461;204;20915;779;369;121;126;56285;17077;9
"205";"2006";"1503309";"Igarapé-Miri - PA";80713;118;1599;128;27159295,9899998;6580;30;4;20147;135;11;156;64;89687;45585;6
"206";"2006";"1503408";"Inhangapi - PA";2164;2837;678;2737;5046314,26;581;59;20;4019;46;16;52;16;25641;11096;4
"207";"2006";"1503457";"Ipixuna do Pará - PA";4904;4684;1024;2075;2873063,53;3618;224;92;5874;237;115;545;55;125228;84875;9
"208";"2006";"1503507";"Irituia - PA";11604;2001;952;660;6163730,57;5837;239;50;44182;119;66;177;31;53672;16312;4
"209";"2006";"1503606";"Itaituba - PA";11858;1716;841;197;45462294,69;5066;952;39;6252;47;60;168;14;44797;66935;9
"210";"2006";"1503705";"Itupiranga - PA";6646;4990;889;837;110348009,930001;6497;454;78;1738;26;157;347;7;245952;72666;9
"212";"2006";"1503804";"Jacundá - PA";581;2018;31;198;4974092,57999999;2354;127;42;59;21;42;89;12;31656;21965;4
"215";"2006";"1504059";"Mãe do Rio - PA";3370;869;320;315;4132398,06;1969;162;35;549;97;35;96;27;29793;18229;4
"217";"2006";"1504208";"Marabá - PA";16170;11278;1577;4630;150196319,740001;9235;533;190;10176;95;329;738;57;373471;75606;6
"218";"2006";"1504307";"Maracanã - PA";3536;383;735;273;1542056,63;3768;63;20;11162;319;133;82;70;30228;18875;4
"219";"2006";"1504406";"Marapanim - PA";5312;591;705;319;1260755,93;5363;617;14;7301;331;236;44;49;20844;16212;4
"220";"2006";"1504422";"Marituba - PA";2296;178;288;72;646461,73;369;13;12;43;34;12;35;11;2331;1221;4
"221";"2006";"1504455";"Medicilândia - PA";26966;2978;12085;1808;28579420,28;7991;773;326;28837;321;517;613;92;189170;72794;6
"224";"2006";"1504703";"Moju - PA";63424;3784;64853;3092;15750830,08;14445;148;105;250370;379;74;214;52;290473;71306;2
"225";"2006";"1504802";"Monte Alegre - PA";17795;955;2118;357;35706598,4600004;13225;186;48;13593;217;471;295;28;49977;80230;6
"226";"2006";"1504901";"Muaná - PA";41112;192;724;89;761976,13;7402;13;11;6574;4;1;103;2;47865;26969;6
"227";"2006";"1504950";"Nova Esperança do Piriá - PA";19619;2079;5332;1123;1851069,67999999;5240;131;80;29617;417;267;115;20;53098;21252;6
"228";"2006";"1504976";"Nova Ipixuna - PA";1878;1478;175;215;2158197,11;2535;39;20;3952;5;122;87;2;60474;12380;4
"229";"2006";"1505007";"Nova Timboteua - PA";1421;287;478;150;867813,71;1060;110;43;1676;167;21;30;8;21243;6265;4
"230";"2006";"1505031";"Novo Progresso - PA";2858;2046;545;376;73825768,4899997;1061;142;86;1193;8;6;41;6;185442;53688;4
"231";"2006";"1505064";"Novo Repartimento - PA";8717;3633;2565;359;53343043,4300001;9986;159;42;3522;91;168;345;68;254398;64529;6
"232";"2006";"1505106";"Óbidos - PA";10332;1731;1945;673;31946218,4600005;10336;144;15;19182;45;109;139;15;62483;77100;6
"233";"2006";"1505205";"Oeiras do Pará - PA";6356;250;1013;103;823924,44;7790;22;13;8505;126;29;21;20;43534;31551;6
"235";"2006";"1505403";"Ourém - PA";2216;365;943;146;4477546,78000001;3210;34;18;14770;365;37;88;3;24149;18022;4
"236";"2006";"1505437";"Ourilândia do Norte - PA";791;3025;202;208;4514611,72;1956;77;36;1136;29;13;31;2;70238;19669;4
"237";"2006";"1505486";"Pacajá - PA";33766;4266;2630;1281;43276933,6799999;12720;26;21;31214;87;141;201;16;142153;45284;6
"238";"2006";"1505494";"Palestina do Pará - PA";49;1473;84;93;9652220,41;1469;44;32;60;1;8;20;1;29948;6984;4
"239";"2006";"1505502";"Paragominas - PA";33189;16746;15546;11502;57132663,43;951;1038;321;18339;154;58;277;110;603816;93796;9
"240";"2006";"1505536";"Parauapebas - PA";3635;2417;2380;362;39066095,6499999;2951;92;33;2036;146;128;180;32;88389;40265;4
"241";"2006";"1505551";"Pau D'Arco - PA";1068;10467;358;9192;11143958,97;1393;111;55;527;21;63;120;12;19058;13419;4
"242";"2006";"1505601";"Peixe-Boi - PA";1671;966;1174;663;2339381,42;541;137;41;2774;31;16;48;15;17642;4431;4
"243";"2006";"1505635";"Piçarra - PA";1226;29814;243;1807;17402621,38;4230;514;132;186;10;255;188;9;152051;27073;4
"244";"2006";"1505650";"Placas - PA";7941;1366;1141;422;48652972,79;4595;1160;34;4538;78;75;181;21;94921;28624;4
"246";"2006";"1505809";"Portel - PA";43611;731;1394;133;3404220,21;7385;88;53;112533;17;4;28;8;17108;40826;6
"247";"2006";"1505908";"Porto de Moz - PA";12055;791;559;78;7364395,81000004;6059;39;19;3359;15;6;305;5;48450;22432;4
"248";"2006";"1506005";"Prainha - PA";14371;503;1040;54;162960832,97;8903;25;13;7300;92;48;188;12;31738;61305;6
"249";"2006";"1506104";"Primavera - PA";1976;73;336;46;4977885,93;690;131;6;460;47;11;29;3;3807;2774;4
"250";"2006";"1506112";"Quatipuru - PA";5040;15;80;5;979271,31;782;6;3;2174;34;14;28;3;1645;9098;4
"251";"2006";"1506138";"Redenção - PA";1473;4741;344;1994;28448977,4400002;1382;363;114;744;58;106;136;43;74006;43175;4
"252";"2006";"1506161";"Rio Maria - PA";1666;17342;261;3904;27716234,2300003;1919;474;146;368;70;249;137;19;194957;23147;4
"253";"2006";"1506187";"Rondon do Pará - PA";3133;6768;459;1169;10332099,01;3562;341;132;2877;33;63;252;20;156289;49725;4
"254";"2006";"1506195";"Rurópolis - PA";9555;2059;2010;296;11310956,3999999;8520;115;52;10473;86;95;125;28;69953;22378;6
"256";"2006";"1506302";"Salvaterra - PA";1047;234;453;181;11253510,13;1193;43;7;6721;153;35;56;15;10685;9030;4
"257";"2006";"1506351";"Santa Bárbara do Pará - PA";69;96;10;39;1157468,89;114;48;8;23;14;6;22;7;8165;3316;4
"259";"2006";"1506500";"Santa Izabel do Pará - PA";8020;5318;2384;1609;14789835,73;3720;453;207;13929;775;357;157;196;571663;44971;9
"260";"2006";"1506559";"Santa Luzia do Pará - PA";9016;1301;739;240;21382098,45;2732;114;50;2866;255;45;92;16;17733;11453;4
"261";"2006";"1506583";"Santa Maria das Barreiras - PA";11363;11292;4171;2679;68393152,9100001;7481;668;266;3466;143;139;714;36;249213;55993;6
"262";"2006";"1506609";"Santa Maria do Pará - PA";6431;860;1236;613;3260092,62;3137;141;69;6401;829;320;56;95;18803;26646;4
"263";"2006";"1506708";"Santana do Araguaia - PA";21023;14352;3471;4822;24032856,1500004;6618;562;237;7981;99;129;500;28;349194;51349;9
"264";"2006";"1506807";"Santarém - PA";56658;10217;22761;9277;70843350,1099998;33933;1856;226;102510;777;691;542;134;207910;180395;6
"265";"2006";"1506906";"Santarém Novo - PA";490;241;113;203;1436457,01;235;46;15;950;65;27;16;12;3394;3784;4
"266";"2006";"1507003";"Santo Antônio do Tauá - PA";5130;3045;3797;2113;2519901,6;2582;443;120;15807;345;242;80;122;101924;51032;9
"267";"2006";"1507102";"São Caetano de Odivelas - PA";4171;248;505;218;2233069,83;1427;48;20;1346;193;32;41;35;22390;14725;4
