"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"CR_sicor";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"4592";"2017";"4219309";"Videira - SC";9802,9;58273;61984;192737276,99;3644;2202;1026;39338;923;877;602;302;167376;141287;5
"4594";"2017";"4219408";"Witmarsum - SC";2473,7;10912;14506;9308759,87;1722;553;409;15134;574;534;295;231;28771;32974;2
"4595";"2017";"4219507";"Xanxerê - SC";13620,8;41949;31319;53852989,39;2097;1017;474;47449;561;504;383;156;164833;98065;2
"4597";"2017";"4219705";"Xaxim - SC";8458,9;30932;35139;28069703,64;2618;1251;635;26562;793;632;628;127;133335;90045;3
"4599";"2017";"4220000";"Balneário Rincão - SC";156,3;747;877;35060,42;189;46;37;1935;47;15;22;14;4396;4471;2
"4605";"2017";"4300406";"Alegrete - RS";107763,2;196143;348724;490404704,41;8279;4399;2326;534598;1376;507;880;537;856425;435107;4
"4608";"2017";"4300505";"Alpestre - RS";7677,7;13776;19155;17394053,19;3439;698;411;45269;1311;1306;546;289;66888;50896;3
"4610";"2017";"4300570";"Alto Feliz - RS";1229,5;18355;3346;4054774,34;1100;263;216;9218;346;329;134;107;50534;24088;2
"4611";"2017";"4300604";"Alvorada - RS";150,4;881;234;615622,58;82;35;21;312;25;7;14;10;2614;863;2
"4612";"2017";"4300638";"Amaral Ferrador - RS";8219,4;14809;30132;8900813,58;2899;995;796;58084;963;827;618;273;70785;44296;3
"4613";"2017";"4300646";"Ametista do Sul - RS";2116,7;2806;4623;3131255,81;1720;89;65;11068;494;447;199;26;14546;13043;2
"4615";"2017";"4300703";"Anta Gorda - RS";9016,9;73263;13838;16910065,36;2454;1230;632;38368;860;857;441;191;162482;70384;3
"4616";"2017";"4300802";"Antônio Prado - RS";5653,4;33858;40704;79888618,26;4070;1981;1199;84230;924;881;892;460;112871;61707;3
"4617";"2017";"4300851";"Arambaré - RS";34264,1;33352;88062;34806658,48;638;870;438;191888;131;105;124;68;209277;73562;2
"4619";"2017";"4300901";"Aratiba - RS";5943,6;18789;6724;24719143,63;2047;625;315;17454;831;793;639;168;77573;63381;3
"4620";"2017";"4301008";"Arroio do Meio - RS";3998,7;80741;5003;107589198,03;1843;901;500;10579;666;579;395;68;187135;45405;2
"4624";"2017";"4301206";"Arroio do Tigre - RS";15866,7;31005;66794;28403110,94;6269;1729;1003;115428;1868;1810;1492;648;128146;121246;3
"4626";"2017";"4301404";"Arvorezinha - RS";9740,3;45613;23916;16993503,6;3095;772;560;55817;1101;1066;521;440;102309;73785;3
"4628";"2017";"4301552";"Áurea - RS";8858,7;14702;20339;23724210,77;1415;670;368;34902;634;627;242;203;42876;32924;2
"4629";"2017";"4301602";"Bagé - RS";60385,3;95200;127617;233742715,35;4242;2301;1166;236290;578;225;374;257;444983;177885;5
"4631";"2017";"4301651";"Barão - RS";2137;9300;3990;3647189,26;1766;570;346;9596;584;510;213;124;48163;19377;2
"4632";"2017";"4301701";"Barão de Cotegipe - RS";12014,6;25895;21775;37328790,82;2284;911;437;38787;980;968;773;146;78369;57598;3
"4634";"2017";"4301800";"Barracão - RS";18317;33041;48933;36575783,19;2333;770;424;72614;791;750;551;243;92949;85613;3
"4635";"2017";"4301859";"Barra do Guarita - RS";1927,6;6179;5047;3881449,42;504;112;47;7653;186;189;78;12;18024;10531;2
"4637";"2017";"4301909";"Barra do Ribeiro - RS";19377,8;40827;56755;36636612,34;1935;885;603;79921;331;217;144;227;171048;108958;2
"4638";"2017";"4301925";"Barra do Rio Azul - RS";2723;8752;6804;14112559,87;1132;246;148;10070;418;415;169;75;31471;25399;2
"4642";"2017";"4302105";"Bento Gonçalves - RS";6478,3;18616;55124;177929760,02;5230;1401;1215;133907;1044;1056;775;410;131803;106704;3
"4645";"2017";"4302220";"Boa Vista do Cadeado - RS";41557,2;64931;100237;80952669,49;1582;1488;665;148110;464;418;332;242;197340;125731;5
"4646";"2017";"4302238";"Boa Vista do Incra - RS";34592,6;58293;86554;61979823,6;1246;1275;558;125231;337;311;288;142;145776;92561;2
"4647";"2017";"4302253";"Boa Vista do Sul - RS";1843,5;6740;2726;8076198,58;1853;372;268;8431;583;535;297;110;30307;14608;2
"4648";"2017";"4302303";"Bom Jesus - RS";28833,7;62016;134911;112201370,17;4457;1474;936;259188;596;228;320;409;315202;100810;5
"4649";"2017";"4302352";"Bom Princípio - RS";1518;9173;2325;5758074,1;1262;395;353;7580;530;301;239;195;36139;18989;2
"4650";"2017";"4302378";"Bom Progresso - RS";4567,4;9610;11157;6660038,73;613;290;124;18780;198;187;120;48;29911;17217;2
"4651";"2017";"4302402";"Bom Retiro do Sul - RS";1553,8;9431;2469;6747597,27;767;265;149;4491;265;210;128;44;49175;19306;2
"4652";"2017";"4302451";"Boqueirão do Leão - RS";6283,6;14378;24131;9708401,25;3319;522;438;64348;1223;1195;970;403;73287;58067;3
"4656";"2017";"4302659";"Brochier - RS";1343,5;1952;1674;4268591,63;1327;314;300;6346;524;376;128;35;16274;22272;2
"4658";"2017";"4302808";"Caçapava do Sul - RS";36615,1;56752;78203;160688850,2;6353;2051;1148;129077;1069;309;522;453;250602;106768;5
"4659";"2017";"4302907";"Cacequi - RS";52221,8;64924;115434;122486945,61;1770;1400;714;183466;265;167;280;196;246661;124824;5
"4660";"2017";"4303004";"Cachoeira do Sul - RS";135520,3;186511;372619;186506635,42;7825;5039;2656;547133;1942;1142;821;773;678147;520757;4
"4662";"2017";"4303202";"Cacique Doble - RS";10914,4;21093;27527;19183370,87;2279;736;391;42915;881;876;685;166;59468;38870;3
"4668";"2017";"4303673";"Campestre da Serra - RS";14049,5;24301;37758;37726093,35;1460;771;550;89021;511;459;197;249;111474;51654;2
