Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
2200459;Alvorada do Gurguéia (PI);18854;973;19827
2200509;Amarante (PI);11177;722;11899
2200608;Angical do Piauí (PI);1850;X;1850
2200707;Anísio de Abreu (PI);4975;68;5043
2200806;Antônio Almeida (PI);19175;92;19267
2200905;Aroazes (PI);2810;210;3020
2200954;Aroeiras do Itaim (PI);2041;X;2041
2201002;Arraial (PI);5019;X;5019
2201051;Assunção do Piauí (PI);7233;X;7233
2201101;Avelino Lopes (PI);5760;-;5760
2201150;Baixa Grande do Ribeiro (PI);680009;134;680143
2201176;Barra D'Alcântara (PI);4073;X;4073
2201200;Barras (PI);16677;2636;19313
2201309;Barreiras do Piauí (PI);231;-;231
2201408;Barro Duro (PI);2871;1807;4678
2201507;Batalha (PI);8753;2053;10806
2201556;Bela Vista do Piauí (PI);1436;X;1436
2201572;Belém do Piauí (PI);2623;X;2623
2201606;Beneditinos (PI);3507;160;3667
2201705;Bertolínia (PI);740;-;740
2201739;Betânia do Piauí (PI);3105;-;3105
2201770;Boa Hora (PI);5024;314;5338
2201804;Bocaina (PI);3557;625;4182
2201903;Bom Jesus (PI);215860;230;216090
2201919;Bom Princípio do Piauí (PI);1778;538;2316
2201929;Bonfim do Piauí (PI);4420;X;4420
2201945;Boqueirão do Piauí (PI);1611;763;2374
2201960;Brasileira (PI);2566;750;3316
2201988;Brejo do Piauí (PI);4700;X;4700
2202000;Buriti dos Lopes (PI);8077;196;8273
2202026;Buriti dos Montes (PI);3238;X;3238
2202059;Cabeceiras do Piauí (PI);5112;915;6027
2202075;Cajazeiras do Piauí (PI);2945;X;2945
2202083;Cajueiro da Praia (PI);3106;640;3746
2202091;Caldeirão Grande do Piauí (PI);10946;X;10946
2202109;Campinas do Piauí (PI);5616;62;5678
2202117;Campo Alegre do Fidalgo (PI);4698;X;4698
2202133;Campo Grande do Piauí (PI);5506;1440;6946
2202174;Campo Largo do Piauí (PI);3257;336;3593
2202208;Campo Maior (PI);6835;1626;8461
2202251;Canavieira (PI);2234;28;2262
2202307;Canto do Buriti (PI);17268;1444;18712
2202406;Capitão de Campos (PI);3106;855;3961
2202455;Capitão Gervásio Oliveira (PI);772;-;772
2202505;Caracol (PI);5560;192;5752
2202539;Caraúbas do Piauí (PI);1450;181;1631
2202554;Caridade do Piauí (PI);763;X;763
2202604;Castelo do Piauí (PI);8037;650;8687
2202653;Caxingó (PI);2304;118;2422
2202703;Cocal (PI);12680;6098;18778
2202711;Cocal de Telha (PI);2092;909;3001
2202729;Cocal dos Alves (PI);2685;7100;9785
