;area_estabelecimentos;area_lavouras;area_producao;despesas_terra;qtde_estabelecimentos;pessoal_ocupado;salarios;pessoal_homens;pessoal_mulheres;qtde_tratores;qtde_maquinas;despesas_maquinas;uso_adubos;uso_corretivos;uso_assistencia_tecnica;uso_agrotoxicos;uso_conservacao;uso_irrigacao;uso_energia;despesa_insumos;intensidade_agrotoxico;despesas_estabelecimentos;despesas_outras;despesas_lavouras;receitas_lavouras;receitas_estabelecimentos;CR_sicor;producao;pib_agro_municipios
3513108;29143,9;26521,7;29569;29214;112;749;14275;670;79;275;425;10837;100;88;58;58;233;43;97;19676;31,77348066;59015;360;51504;81872;109;30606292,03;126227;63726,25
3513207;21088,9;12936,2;18227;32862;444;3016;17673;2348;668;604;1030;13893;360;302;361;361;643;91;380;40327;1,44298401;95003;5999;64863;77903;414;78453820,22;135622;71107,01
3513306;9932,3;9832,2;10255;20044;97;275;2320;242;33;184;380;4565;96;75;92;92;215;4;60;18404;NA;28850;1110;28092;40905;95;16022716,08;55903;21399,87
3513405;10098,9;547,3;452;1346;192;467;2992;436;31;52;86;326;91;46;44;44;429;22;179;3813;2,76190476;9502;261;469;432;174;2202914,98;10805;6977,57
3513504;59,2;NA;316;3;3;6;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;1;NA;3;3;NA;14;NA;14;134;3;NA;108;960,5
3513603;65533,8;3483,8;12005;4222;2287;5001;11918;3766;1235;254;342;4139;973;511;785;785;1204;95;2141;20694;6,75000000;52221;2007;2108;3514;2137;16316713,82;65904;24077,57
3513702;44265,3;38883,2;41293;131939;392;3031;66301;2462;569;603;874;49708;291;191;149;149;431;42;383;102563;2,86627907;364262;53268;252999;158962;369;53853700,1;272301;145240,19
3513801;0,4;NA;1;6;16;19;NA;12;7;NA;NA;NA;12;3;1;1;11;12;7;NA;NA;32;4;NA;0;10;NA;16;816,43
3513850;6279;2231,3;2445;799;131;322;855;273;49;35;55;NA;40;13;5;5;136;6;117;1258;0,74117647;4414;130;127;6276;113;493873,98;13677;8692,46
3513900;11364,1;3997,6;5720;62316;633;2033;9119;1697;336;484;642;28428;446;286;181;181;711;110;588;64786;5,30396246;140495;27109;9696;65552;578;13528466,05;98742;60813,95
3514007;10094,5;9888,7;10271;25887;29;1753;98866;1612;141;133;186;NA;24;21;21;21;55;7;26;26048;1549,14285714;160189;257;159744;45004;28;1641689,85;55078;27281,33
3514106;41008,8;34892,7;42288;19597;366;1881;15022;1465;416;632;967;8654;302;205;209;209;570;21;310;19539;1,24946104;53794;1932;46391;139782;337;28125771,73;169904;117957,85
3514205;5771,5;3436,5;4411;2413;107;411;1578;343;68;81;132;NA;64;51;35;35;143;21;84;2345;1,30188679;7353;439;2668;3355;97;2686821,77;21017;14394,97
3514304;15452,5;11006,4;13541;13535;63;411;23701;339;72;121;192;NA;42;31;48;48;96;8;61;20049;42,11111111;53524;646;37990;25098;59;12886067,92;36654;31140,61
3514403;37702;18702,6;23847;16478;570;1715;24037;1331;384;231;371;14730;215;124;179;179;325;61;528;18415;16,88198758;68758;1119;52526;69407;494;8758502,74;87659;53579,26
3514502;16145,6;2514,1;11997;7565;248;606;4327;501;105;154;211;NA;86;58;67;67;329;15;216;5764;1,16992353;21039;935;8792;14869;211;7725546,61;31613;14001,72
3514601;9059;8955,2;9724;8052;178;768;5860;628;140;195;368;NA;173;147;171;171;278;7;43;6644;NA;24220;1965;23902;38061;176;24107664,43;46174;25802,44
3514700;35279,7;16249,2;21861;19946;263;784;6996;663;121;275;434;10477;139;116;97;97;267;18;228;21910;15,28571429;48069;289;34880;83379;237;29064781,06;107348;47928,51
3514809;22933;6445;22420;15945;844;2789;16792;2434;355;282;288;3650;569;292;180;180;228;30;476;14787;0,41140848;41939;1158;36771;86689;777;2848205,06;77144;190361,27
3514908;9585,1;7585,2;9676;11935;295;1038;7325;850;188;299;415;4578;228;171;148;148;385;73;255;15498;8,03921569;34824;248;16111;44441;276;5956525,08;57833;87657,69
3514924;5628,8;5091,5;5291;2144;49;240;5154;220;20;66;79;NA;35;19;22;22;64;10;42;1606;3,72674419;12130;346;10519;1683;41;16424693,14;30991;19826,25
3514957;6479,2;6308,1;6586;6749;63;360;3439;323;37;103;160;4262;49;28;46;46;64;13;51;4995;5,23598820;16704;354;15965;48538;62;6108271,25;39593;17249,62
3515004;145;75,4;244;576;27;119;1159;70;49;26;26;NA;25;9;9;9;24;18;26;656;NA;2757;180;NA;NA;25;10066969,49;3351;288,15
3515103;508,4;369,7;1110;3861;105;424;3842;323;101;91;109;2029;74;56;39;39;119;60;86;3837;20,36842105;11544;694;109;171;105;793034,66;14028;1606,73
3515129;16054,6;4079,4;4969;10768;194;938;1632;681;257;105;167;3121;92;72;177;177;317;8;165;7546;100,14285714;24196;3686;14220;7878;186;4838451,59;27776;21657,07
3515152;6095,4;4921,1;5414;8853;316;957;5476;706;251;290;430;2607;204;75;64;64;411;29;251;10917;2,19394435;25463;1263;13703;28651;290;6269195,61;41812;24954,12
3515186;24584,3;11917,8;20642;19859;481;3032;29503;2529;503;592;880;5735;366;219;245;245;541;40;457;25341;0,86204965;74660;1126;48544;57464;411;30563150,56;89595;68147,86
3515194;15120,2;7989,5;5558;18163;97;458;5211;336;122;118;172;3505;56;40;68;68;254;9;82;11445;2,68174561;41017;5481;16742;15637;90;5029688,34;56622;20625,34
3515202;19560,1;11146,5;13518;19947;268;781;5828;671;110;278;385;8997;150;91;156;156;96;38;230;75692;1,69970052;218815;1073;27163;25122;243;16043812,17;243398;43785,55
3515301;17952,4;10156,6;10973;16897;136;386;2685;283;103;49;84;5415;54;41;57;57;144;6;128;7922;114,25000000;34836;3905;28680;7788;125;910157,87;51955;21276,78
3515350;41129,2;8580,4;8884;7807;751;2348;3883;1532;816;157;298;NA;253;163;426;426;1312;31;731;13031;60,23809524;44769;4489;12988;24672;715;12346863,84;61427;31713,22
3515400;19653;5355,5;9015;12869;475;1361;7469;1133;228;345;540;6541;354;124;236;236;414;22;427;32166;1,57573999;68635;1666;20822;37006;440;44236072,93;88964;69147,6
3515509;38263,2;21130,4;23402;27430;584;2328;40120;1972;356;424;666;33523;247;144;221;221;385;48;541;66731;3,63510253;214175;2187;93140;21536;507;34255775,29;228109;84319,38
3515608;15670,4;14637,5;16486;9824;313;895;3539;709;186;413;547;NA;274;142;200;200;475;83;262;9270;1,51070979;19683;733;18320;115616;298;7226126,97;110634;83410,06
3515657;7138,3;2000,5;3355;4380;205;556;2746;429;127;121;176;1912;123;73;150;150;272;33;164;4631;1,95504087;12303;809;7556;8831;184;5218480,32;15754;22042,42
3515707;45,1;36,8;79;167;16;50;77;37;13;9;NA;14;14;13;1;1;24;12;16;120;NA;359;10;35;197;16;NA;505;1752,22
3515806;15292,6;4528,3;NA;11887;109;291;4508;267;24;64;112;4479;49;41;47;47;75;4;89;7314;NA;29724;4219;NA;8565;101;4838929;27622;15289,23
3515905;13150,6;7314,6;7271;2872;230;508;3647;427;81;90;156;NA;100;42;137;137;166;8;189;5091;1,20949721;24432;372;4424;24701;217;5749707,63;46626;17948,44
3516002;43476,8;21335,4;25543;17441;511;1328;28843;1122;206;300;491;10479;207;136;96;96;402;17;343;16165;26,67553191;67401;2467;54507;74535;456;15384423,87;107348;53357,38
3516101;12942,2;NA;13754;23744;46;287;3068;258;29;128;246;5654;43;33;39;39;122;3;41;21637;NA;35714;977;35389;63061;44;25721696,38;64780;36866,04
3516200;29648,6;18492,2;29118;45993;540;2725;22473;2214;511;708;1172;13304;384;302;262;262;1012;77;506;45592;1,30252321;99335;4007;78379;121157;475;238967670,68;172585;49446,77
3516309;63,3;13,9;NA;28;26;59;71;40;19;NA;NA;30;9;4;10;10;13;7;14;NA;NA;315;9;NA;NA;26;NA;654;451,31
3516408;576,2;263,4;406;514;137;342;1388;237;105;22;25;268;92;22;54;54;171;48;55;790;1,40000000;2902;99;462;366;134;26500;3180;3517,3
3516507;14146,8;6241,7;6926;4226;178;580;2872;443;137;121;177;1534;109;63;101;101;270;36;131;4645;6,18897638;14525;309;7156;28371;167;6868512,95;36896;15128,33
3516606;22464,5;6833,6;13748;16947;316;1307;10493;949;358;324;475;10563;202;129;174;174;553;31;295;15640;1,22889007;47007;2754;38628;48316;281;18467120,9;65723;30058,65
