Municipio;Qtde;Principal
2410900;81800;Milho
2411007;66116;Milho
2411056;17460;Mandioca
2411205;129000;Mandioca
2411403;113400;Milho
2411601;890400;Soja
2411700;2800000;Cana-de-acucar
2411908;9600;Mandioca
2412005;10800;Trigo
2412203;68000;Milho
2412401;21200;Mandioca
2412500;8500;Feijao
2412559;122850;Soja
2412609;10800;Mandioca
2412708;5500;Mandioca
2412807;136080;Soja
2413359;98901;Soja
2413409;10930;Mandioca
2413508;140000;Mandioca
2413706;16000;Mandioca
2413805;952860;Milho
2413904;44000;Mandioca
2414001;54000;Milho
2414100;26700;Mandioca
2414159;34640;Milho
2414209;1328100;Milho
2414308;32200;Mandioca
2414456;279610;Soja
2414506;106261;Soja
2414605;60000;Mandioca
2414704;17602;Café
2500205;2000;Fumo
2500304;141000;Milho
2500403;75000;Mandioca
2500700;150000;Soja
2500734;286110;Laranja
2500775;42270;Milho
2500809;1574;Feijao
2501005;511500;Milho
2501153;1235;Feijao
2501203;16000;Mandioca
2501534;74120;Soja
2501575;1120000;Cana-de-acucar
2501708;1026000;Soja
2501807;42666;Mandioca
2501906;18400;Fumo
2502003;37962;Milho
2502052;65000;Mandioca
2502151;4800;Mandioca
2502300;380400;Milho
2502508;20000;Mandioca
2502805;6000;Mandioca
2502904;16500;Mandioca
2503001;301255;Milho
2503100;60405;Mandioca
2503209;169000;Milho
2503506;4620;Mandioca
2503555;2880000;Cana-de-acucar
2503704;13200;Mandioca
2504009;66300;Soja
2504033;75600;Soja
2504157;9470;Mandioca
2504306;223354;Milho
2504355;61200;Soja
2504405;4560;Mandioca
2504504;97586;Soja
2504603;68250;Soja
2504702;16680;Feijao
2504900;195270;Soja
2505105;270000;Milho
2505204;160000;Milho
2505238;61795;Milho
2505303;210000;Soja
2505352;19137;Mandioca
2505600;711993;Cana-de-acucar
2505709;8657;Mandioca
2505808;36000;Milho
2506004;66000;Milho
2506103;264000;Soja
2506202;393375;Milho
2506608;45000;Mandioca
2506707;34664;Laranja
2506806;617980;Cana-de-acucar
2507200;24000;Mandioca
2507705;180000;Soja
2508208;15250;Mandioca
2508307;16833;Mandioca
2508406;817233;Cana-de-acucar
2508505;156000;Soja
2508604;85880;Milho
2508802;210600;Milho
2509008;15096;Fumo
2509156;90600;Milho
2509305;5280;Café
2510402;34692;Mandioca
2510501;70877;Soja
2510600;299551;Milho
2510659;59700;Feijao
2511400;88560;Soja
2511806;1227;Feijao
2512200;36220;Milho
2512309;762588;Cana-de-acucar
2512408;4556;Fumo
2512507;84021;Soja
2512606;6200;Café
2512705;3898400;Cana-de-acucar
2513000;739200;Soja
2513158;2520000;Cana-de-acucar
2513505;62400;Soja
2513901;2640400;Cana-de-acucar
2513968;100965;Milho
2514552;13500;Café
2514651;11000;Trigo
2514909;16120;Feijao
2515005;31600;Milho
2515104;24300;Café
2515302;68850;Soja
2515500;5700;Feijao
2515708;50172;Milho
2515807;178500;Laranja
2515930;82375;Milho
2516003;34500;Café
2516102;5437;Mandioca
2516151;14400;Café
2516409;2257600;Cana-de-acucar
2516904;4127;Feijao
2517001;48226;Laranja
2600054;10800;Trigo
2600302;9450;Mandioca
2600708;122300;Milho
2600807;693000;Soja
2601409;6400;Mandioca
2601607;9800;Feijao
2602100;7900;Feijao
2602209;22320;Trigo
2602605;717360;Soja
2602704;1230;Feijao
2602902;103400;Milho
2603207;7500;Mandioca
2603504;55800;Milho
2603926;1820000;Cana-de-acucar
2604155;68250;Soja
2604205;91200;Soja
2604601;79470;Milho
2604908;46935;Milho
2605103;881319;Cana-de-acucar
2605509;358800;Milho
2606101;14070;Café
2606804;1054;Feijao
2607901;118400;Soja
2608057;17367;Café
2608107;6100;Mandioca
2608404;28800;Trigo
2608750;10040;Mandioca
2608800;113957;Laranja
2609006;78100;Soja
2609501;860000;Soja
